,COSCE ID,gpt4 sim,gpt4 dist,gpt35 sim,gpt35 dist,mixtral sim,mixtral dist
0,01_0542_298135,0.9788039364118092,0.021196063588190765,0.29200125143393474,0.7079987485660653,0.4634367903103709,0.5365632096896291
1,02_0036_174595,0.9750576957216404,0.024942304278359667,0.6107757855494408,0.3892242144505592,0.9579265045268951,0.04207349547310492
2,03_0028_174553,0.960539113519522,0.03946088648047798,0.918569582076691,0.08143041792330892,0.6208382717379592,0.37916172826204075
3,04_0043_174686,0.9894252423381964,0.010574757661803583,0.6109859982375404,0.3890140017624596,0.5843163097199341,0.4156836902800659
4,05_0033_174804,0.982895540623091,0.01710445937690898,0.8481032099523883,0.15189679004761172,0.9296594982078853,0.07034050179211469
5,06_0079_175106,0.9641943734015346,0.03580562659846547,0.9243697478991597,0.07563025210084033,0.9191328705395202,0.08086712946047984
6,07_0068_174641,0.9890694664173738,0.010930533582626205,0.9536890550841364,0.046310944915863655,0.7012800230116496,0.29871997698835034
7,08_0029_174576,0.9983873857731589,0.001612614226841068,0.7618706325031357,0.23812936749686436,0.9636265902168071,0.03637340978319298
8,09_0029_174582,0.9985031540682134,0.0014968459317865924,0.6609643964503368,0.3390356035496632,0.9746605367261841,0.02533946327381589
9,10_0991_331330,0.9981353223228556,0.0018646776771443793,0.6652903569525839,0.33470964304741607,0.7229571154256453,0.2770428845743546
