,COSCE ID,3chunk sim,3chunk dist,6chunk sim,6chunk dist,9chunk sim,9chunk dist
0,01_0542_298135,0.9788039364118092,0.021196063588190765,0.9939695462083522,0.006030453791647822,0.9968244367155603,0.0031755632844397397
1,02_0036_174595,0.997159595242322,0.002840404757677969,0.9938113340995491,0.006188665900450889,0.9956594915404376,0.004340508459562406
2,03_0028_174553,0.9988515647430376,0.0011484352569623888,0.9893162393162394,0.010683760683760684,0.9938360091743119,0.006163990825688074
3,04_0043_174686,0.982571232742583,0.017428767257417016,0.9896210711837854,0.010378928816214628,0.9680798981690003,0.031920101830999706
4,05_0033_174804,0.9894252873563218,0.010574712643678161,0.9611086276262852,0.038891372373714796,0.9794238683127572,0.0205761316872428
5,06_0079_175106,0.996959377280467,0.0030406227195329603,0.9928311057108141,0.0071688942891859056,0.9953720618682256,0.004627938131774449
6,07_0068_174641,0.9883503523658852,0.01164964763411477,0.8511433913418668,0.1488566086581332,0.9869121242629081,0.013087875737091902
7,08_0029_174576,0.9856656513169683,0.014334348683031715,0.9949829779609389,0.0050170220390611,0.9872782655438094,0.012721734456190646
8,09_0029_174582,0.9925563589961719,0.007443641003828158,0.9901137450834485,0.009886254916551504,0.9926226879076232,0.007377312092376778
9,10_0991_331330,0.9348694725625999,0.06513052743740011,0.991274457958752,0.008725542041248016,0.9785562067128396,0.02144379328716036
